lat,lng,wayid
43.88015089920537,11.099899202103984,27214539
43.87816929832481,11.099417402317348,27214549
43.87675949755839,11.100021102824131,27214570
43.8788048986323,11.097994601701137,27214586
43.87805409826655,11.098847402125807,27214735
43.87631899729505,11.09480490070154,27214973
43.8779411982087,11.094249300413814,27214986
43.87844379846051,11.095299600777542,27215178
43.87889489867393,11.09428160039438,27215178
43.88894930033858,11.089212399786687,27220994
43.8908925999778,11.091021900005783,27220994
43.89128449987826,11.08707890008612,27221016
43.89071850001915,11.087898399987484,27221016
43.8901292001459,11.088305099904876,27221016
43.89145909983102,11.0898026000646,27221040
43.89058050005065,11.091689499990629,27221276
43.89155809980343,11.092544900013442,27221276
43.89104529994009,11.093641499996483,27221296
43.890081700155235,11.092756199991733,27221296
43.882506199952964,11.097724201110577,27256166
