poi,yellow,brown,green,food,hotel,retail,entertain,beauty,service,sport,civic,religious,education,health,government,transport
23,0,0,0,4,0,5,0,0,5,0,0,1,1,0,0,2
15,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0
14,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,3
9,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
22,0,0,0,2,0,2,2,3,0,0,1,0,0,2,0,2
2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
143,12,0,0,3,0,65,0,0,1,1,0,0,0,0,0,0
16,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
10,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,0,0,1,0,4,0,2,4,0,0,0,0,6,0,1
3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
15,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
39,1,0,0,0,0,7,0,2,3,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,1
24,4,0,0,5,0,9,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
36,5,0,0,1,0,22,0,0,0,0,0,0,0,1,0,1
4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,1,0,0,1,1,16,0,0,7,0,0,0,0,2,0,1
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
36,1,0,0,2,0,3,0,0,0,0,0,1,4,1,0,3
51,4,0,0,1,0,17,0,0,3,0,0,1,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,3,0,2,0,1,1,0,0,1,0,6,1,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,13,0,0,5,1,37,0,0,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
65,1,0,0,2,0,2,0,1,2,1,0,1,1,3,0,7
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0
32,0,0,0,7,0,4,2,1,3,2,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0
120,11,0,0,3,0,43,0,0,5,0,0,0,2,3,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1
18,1,0,0,2,0,4,0,0,4,0,0,0,0,0,0,0
26,0,0,0,2,0,6,0,0,0,0,0,0,0,2,0,0
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,2,1,2,0,1,2,1,2,0,3,1,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,0,0,3,0,25,1,1,7,2,0,0,0,14,0,0
3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0
28,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,0,0,5,0,10,1,2,10,0,0,1,1,1,1,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,4,0,3,0,1,2,0,0,0,0,2,1,5
5,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
104,2,0,0,5,0,7,0,5,14,0,1,0,0,4,1,7
7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0
18,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,1
42,0,0,0,0,0,2,0,1,0,0,0,0,0,26,0,0
13,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
20,2,0,0,0,0,2,0,1,0,0,0,1,1,1,0,4
35,0,0,0,1,1,2,0,0,0,0,2,0,0,2,0,5
5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,0,0,0,1,0,8,0,1,2,0,0,0,4,7,0,3
10,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,1,1,0,1,2,2,0,1,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,0,0,8,0,5,0,2,5,0,0,0,0,0,0,0
28,1,0,0,2,0,5,0,3,3,0,0,0,0,0,0,2
77,3,0,0,2,0,10,0,0,10,1,0,0,0,4,0,3
16,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,1,0,0,2,0,4,0,3,6,0,0,2,0,0,0,0
18,1,0,0,0,0,3,0,0,1,0,0,0,1,1,0,2
7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,2,0,0,0,1,4,0,0,8,1,0,0,0,0,0,2
6,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0,0,0,1,0,1,0,1,3,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
11,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,5
9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1
7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
20,0,0,0,3,0,5,0,1,3,0,0,0,0,2,0,0
5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
29,2,0,0,0,0,5,0,2,10,0,0,0,0,1,0,0
136,2,0,0,2,0,10,0,0,31,0,0,0,0,5,2,1
4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,3,0,10,0,0,0,0,0,0,0,2,0,2
26,1,0,0,1,0,3,0,1,2,1,1,0,0,2,0,0
